stand,kanton,jahr,stufe,schultyp,geschlecht,staatsangehoerigkeit,traegerschaft,finanzierung,anzahl
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,9
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,72
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,30
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,33
2025-01-13,zh,2022,Sekundarstufe II,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,27
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,öffentlich,öffentlich,481
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,öffentlich,öffentlich,381
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,öffentlich,8
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,öffentlich,5
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Schweiz,privat,privat,84
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,weiblich,Ausland,privat,privat,16
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,öffentlich,öffentlich,518
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,öffentlich,öffentlich,461
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,öffentlich,9
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,öffentlich,3
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Schweiz,privat,privat,35
2025-01-13,zh,2022,Sekundarstufe II,Brückenangebot,männlich,Ausland,privat,privat,5
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,öffentlich,öffentlich,10472
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,öffentlich,öffentlich,3107
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,öffentlich,4084
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,öffentlich,1056
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Schweiz,privat,privat,1989
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,weiblich,Ausland,privat,privat,251
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,öffentlich,öffentlich,15593
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,öffentlich,öffentlich,4464
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,öffentlich,2519
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,öffentlich,613
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Schweiz,privat,privat,1250
2025-01-13,zh,2022,Sekundarstufe II,Berufsfachschule,männlich,Ausland,privat,privat,168
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,öffentlich,öffentlich,1356
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,öffentlich,öffentlich,206
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,öffentlich,2660
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,öffentlich,373
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Schweiz,privat,privat,4423
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,weiblich,Ausland,privat,privat,624
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,öffentlich,öffentlich,1525
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,öffentlich,öffentlich,211
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,öffentlich,2279
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,öffentlich,272
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Schweiz,privat,privat,4806
2025-01-13,zh,2022,Tertiärstufe,Höhere Berufsbildung,männlich,Ausland,privat,privat,830
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,11130
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,weiblich,Ausland,öffentlich,öffentlich,4207
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,weiblich,Schweiz,privat,privat,582
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,weiblich,Ausland,privat,privat,420
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,männlich,Schweiz,öffentlich,öffentlich,12054
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,männlich,Ausland,öffentlich,öffentlich,4473
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,männlich,Schweiz,privat,privat,593
2025-01-13,zh,2021,Primarstufe 1-2,Regelschule,männlich,Ausland,privat,privat,417
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,28
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,20
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,19
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,16
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,61
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,48
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,61
2025-01-13,zh,2021,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,47
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,33341
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,weiblich,Ausland,öffentlich,öffentlich,11627
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,weiblich,Schweiz,privat,privat,1331
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,weiblich,Ausland,privat,privat,992
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,männlich,Schweiz,öffentlich,öffentlich,34552
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,männlich,Ausland,öffentlich,öffentlich,11728
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,männlich,Schweiz,privat,privat,1570
2025-01-13,zh,2021,Primarstufe 3-8,Regelschule,männlich,Ausland,privat,privat,1198
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,105
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,100
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,153
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,97
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,228
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,161
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,473
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,293
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,privat,4
2025-01-13,zh,2021,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,privat,4
2025-01-13,zh,2021,Sekundarstufe I,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,11476
